household_id,country,region_camp,family_size,members,head_age,head_gender,vulnerability_type,needs_category
CAM-0115124,Cambodia,Transit Center,4,"[{""age"": 58, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 62, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 2, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 15, ""gender"": ""M"", ""vulnerable_flag"": false}]",62,F,child_labor_risk,education
MYA-0063425,Myanmar,Sagaing,2,"[{""age"": 3, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 15, ""gender"": ""M"", ""vulnerable_flag"": true}]",15,M,unaccompanied_minor,"medical,livelihood,protection"
BAN-0005174,Bangladesh,Camp 26,4,"[{""age"": 83, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 4, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 44, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 54, ""gender"": ""M"", ""vulnerable_flag"": false}]",83,F,malnutrition,medical
MYA-0048616,Myanmar,Kachin Shelters,4,"[{""age"": 44, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 10, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 15, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 58, ""gender"": ""F"", ""vulnerable_flag"": false}]",58,F,,"food,livelihood"
MYA-0042427,Myanmar,Rakhine IDP Camps,4,"[{""age"": 50, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 28, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 38, ""gender"": ""F"", ""vulnerable_flag"": false}]",50,F,pregnant_lactating,"wash,shelter,protection,medical"
BAN-0025175,Bangladesh,Camp 26,3,"[{""age"": 54, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 82, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 5, ""gender"": ""M"", ""vulnerable_flag"": true}]",82,M,child_labor_risk,livelihood
MYA-0089597,Myanmar,Sagaing,2,"[{""age"": 41, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 15, ""gender"": ""F"", ""vulnerable_flag"": false}]",41,M,disabled,"protection,education,food,shelter"
MYA-0056074,Myanmar,Shan Region,4,"[{""age"": 41, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 3, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 3, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 36, ""gender"": ""M"", ""vulnerable_flag"": false}]",41,M,malnutrition,"livelihood,education,food"
MYA-0052260,Myanmar,Kachin Shelters,6,"[{""age"": 9, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 20, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 2, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 26, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 27, ""gender"": ""M"", ""vulnerable_flag"": false}]",27,M,,"wash,protection"
BAN-0003819,Bangladesh,Camp 26,6,"[{""age"": 12, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 57, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 21, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 57, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 14, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 25, ""gender"": ""M"", ""vulnerable_flag"": false}]",57,F,,"education,protection"
MYA-0043580,Myanmar,Rakhine IDP Camps,1,"[{""age"": 29, ""gender"": ""F"", ""vulnerable_flag"": false}]",29,F,,"livelihood,wash"
MYA-0093838,Myanmar,Kachin Shelters,4,"[{""age"": 24, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 27, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 25, ""gender"": ""F"", ""vulnerable_flag"": false}]",27,M,,"food,medical,education"
MYA-0066212,Myanmar,Shan Region,6,"[{""age"": 42, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 7, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 29, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 22, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 58, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 51, ""gender"": ""M"", ""vulnerable_flag"": false}]",58,F,,"education,protection,shelter"
THA-0029538,Thailand,Umpiem Mai,3,"[{""age"": 76, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 6, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 24, ""gender"": ""M"", ""vulnerable_flag"": false}]",76,M,,"food,livelihood"
BAN-0016350,Bangladesh,Camp 24,5,"[{""age"": 27, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 87, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 75, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 10, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 29, ""gender"": ""M"", ""vulnerable_flag"": false}]",87,M,elderly_at_risk,protection
BAN-0016523,Bangladesh,Nayapara,5,"[{""age"": 6, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 8, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 35, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 3, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 2, ""gender"": ""M"", ""vulnerable_flag"": false}]",35,M,,protection
MYA-0099948,Myanmar,Kachin Shelters,4,"[{""age"": 26, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 16, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 56, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 22, ""gender"": ""F"", ""vulnerable_flag"": true}]",56,M,single_parent,"medical,shelter,livelihood,education"
MYA-0110204,Myanmar,Rakhine IDP Camps,5,"[{""age"": 21, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 74, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 4, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 0, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 43, ""gender"": ""M"", ""vulnerable_flag"": false}]",74,F,,"shelter,wash,protection"
BAN-0024538,Bangladesh,Kutupalong,5,"[{""age"": 19, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 2, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 49, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 42, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 8, ""gender"": ""M"", ""vulnerable_flag"": false}]",49,M,unaccompanied_minor,"wash,food"
THA-0030445,Thailand,Mae Ra Ma Luang,5,"[{""age"": 77, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 7, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 45, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 6, ""gender"": ""F"", ""vulnerable_flag"": false}]",77,M,,"education,protection,shelter"
MYA-0113297,Myanmar,Sagaing,4,"[{""age"": 3, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 7, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 0, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 83, ""gender"": ""M"", ""vulnerable_flag"": false}]",83,M,,"protection,shelter,education"
THA-0031365,Thailand,Mae Ra Ma Luang,3,"[{""age"": 6, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 48, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 59, ""gender"": ""F"", ""vulnerable_flag"": false}]",59,F,malnutrition,"protection,shelter"
MYA-0106560,Myanmar,Rakhine IDP Camps,4,"[{""age"": 1, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 11, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 12, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 7, ""gender"": ""F"", ""vulnerable_flag"": false}]",12,M,child_labor_risk,education
BAN-0003916,Bangladesh,Camp 26,4,"[{""age"": 0, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 52, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 35, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 10, ""gender"": ""F"", ""vulnerable_flag"": false}]",52,M,,"protection,education,food"
BAN-0001642,Bangladesh,Kutupalong,4,"[{""age"": 43, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 24, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 8, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 17, ""gender"": ""M"", ""vulnerable_flag"": false}]",43,F,,"shelter,medical"
MYA-0051222,Myanmar,Shan Region,1,"[{""age"": 56, ""gender"": ""F"", ""vulnerable_flag"": false}]",56,F,,"food,protection"
CAM-0115290,Cambodia,Transit Center,3,"[{""age"": 45, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 6, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 37, ""gender"": ""F"", ""vulnerable_flag"": false}]",45,M,,"shelter,food"
MYA-0050595,Myanmar,Kachin Shelters,3,"[{""age"": 20, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 7, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 71, ""gender"": ""F"", ""vulnerable_flag"": false}]",71,F,,"livelihood,shelter,food,wash"
BAN-0006153,Bangladesh,Nayapara,3,"[{""age"": 55, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 5, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 68, ""gender"": ""M"", ""vulnerable_flag"": false}]",68,M,,"education,livelihood"
MYA-0058265,Myanmar,Shan Region,2,"[{""age"": 56, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 39, ""gender"": ""F"", ""vulnerable_flag"": false}]",56,M,,"medical,shelter,livelihood,protection"
MYA-0087227,Myanmar,Kachin Shelters,7,"[{""age"": 50, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 37, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 26, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 44, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 16, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 77, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 27, ""gender"": ""M"", ""vulnerable_flag"": false}]",77,F,disabled,"livelihood,shelter,protection,food"
MYA-0081334,Myanmar,Shan Region,8,"[{""age"": 36, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 34, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 85, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 4, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 21, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 18, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 30, ""gender"": ""M"", ""vulnerable_flag"": false}]",85,F,unaccompanied_minor,education
MYA-0039967,Myanmar,Rakhine IDP Camps,7,"[{""age"": 6, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 49, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 59, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 31, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 74, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 33, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""M"", ""vulnerable_flag"": false}]",74,M,chronic_illness,"medical,wash,education,shelter"
BAN-0014239,Bangladesh,Nayapara,4,"[{""age"": 52, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 16, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 51, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 0, ""gender"": ""F"", ""vulnerable_flag"": false}]",52,F,,"education,wash,food,livelihood"
MYA-0094129,Myanmar,Sagaing,3,"[{""age"": 44, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 4, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 41, ""gender"": ""M"", ""vulnerable_flag"": false}]",44,F,,"wash,protection,food"
MYA-0097648,Myanmar,Sagaing,5,"[{""age"": 41, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 44, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 4, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 25, ""gender"": ""M"", ""vulnerable_flag"": false}]",44,M,,"wash,protection,education"
MYA-0089213,Myanmar,Kachin Shelters,5,"[{""age"": 10, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 56, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 13, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 57, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 41, ""gender"": ""F"", ""vulnerable_flag"": false}]",57,F,,"medical,protection"
MYA-0096793,Myanmar,Kachin Shelters,5,"[{""age"": 56, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 36, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 11, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 84, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 28, ""gender"": ""M"", ""vulnerable_flag"": false}]",84,F,,livelihood
BAN-0020205,Bangladesh,Kutupalong,5,"[{""age"": 15, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 10, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 5, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 16, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 10, ""gender"": ""F"", ""vulnerable_flag"": false}]",16,F,child_labor_risk,"protection,wash,education,shelter"
CAM-0114643,Cambodia,Transit Center,3,"[{""age"": 13, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 86, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 42, ""gender"": ""F"", ""vulnerable_flag"": false}]",86,F,malnutrition,"protection,shelter,livelihood,medical"
THA-0029725,Thailand,Umpiem Mai,5,"[{""age"": 37, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 11, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 32, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 48, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 25, ""gender"": ""M"", ""vulnerable_flag"": false}]",48,F,disabled,medical
BAN-0011729,Bangladesh,Camp 26,4,"[{""age"": 16, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 39, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 77, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 6, ""gender"": ""F"", ""vulnerable_flag"": false}]",77,F,disabled,"shelter,protection,food,wash"
MYA-0056932,Myanmar,Shan Region,5,"[{""age"": 6, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 21, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 26, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 52, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 33, ""gender"": ""M"", ""vulnerable_flag"": true}]",52,M,gbv_survivor,protection
MYA-0091092,Myanmar,Sagaing,6,"[{""age"": 5, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 13, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 80, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 22, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 40, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 8, ""gender"": ""F"", ""vulnerable_flag"": false}]",80,M,unaccompanied_minor,shelter
MYA-0090491,Myanmar,Rakhine IDP Camps,8,"[{""age"": 37, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 11, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 32, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 48, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 56, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 49, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 53, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 38, ""gender"": ""M"", ""vulnerable_flag"": false}]",56,F,single_parent,"wash,medical,protection"
MYA-0037428,Myanmar,Sagaing,8,"[{""age"": 42, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 79, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 22, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 18, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 12, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 46, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 4, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 11, ""gender"": ""M"", ""vulnerable_flag"": false}]",79,M,chronic_illness,"wash,protection,education,medical"
MYA-0040867,Myanmar,Rakhine IDP Camps,4,"[{""age"": 42, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 12, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 58, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 54, ""gender"": ""F"", ""vulnerable_flag"": false}]",58,F,,"medical,food,shelter,education"
BAN-0008969,Bangladesh,Nayapara,5,"[{""age"": 12, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 2, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 15, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 0, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 11, ""gender"": ""M"", ""vulnerable_flag"": false}]",15,F,,medical
BAN-0024176,Bangladesh,Nayapara,4,"[{""age"": 51, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 7, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 41, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 24, ""gender"": ""F"", ""vulnerable_flag"": true}]",51,F,chronic_illness,"food,protection,shelter,medical"
MYA-0060096,Myanmar,Sagaing,7,"[{""age"": 8, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 1, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 51, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 16, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 2, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 42, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 17, ""gender"": ""F"", ""vulnerable_flag"": false}]",51,F,disabled,"food,livelihood"
MYA-0040061,Myanmar,Shan Region,3,"[{""age"": 28, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 36, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 9, ""gender"": ""M"", ""vulnerable_flag"": true}]",36,F,malnutrition,"protection,education"
MAL-0029299,Malaysia,Klang Valley,3,"[{""age"": 85, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 0, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 2, ""gender"": ""F"", ""vulnerable_flag"": false}]",85,M,child_labor_risk,"education,food,protection,shelter"
MYA-0061420,Myanmar,Shan Region,5,"[{""age"": 37, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 36, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 62, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 3, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 4, ""gender"": ""M"", ""vulnerable_flag"": false}]",62,F,disabled,"protection,food,livelihood"
BAN-0018510,Bangladesh,Kutupalong,3,"[{""age"": 1, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 43, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 19, ""gender"": ""F"", ""vulnerable_flag"": false}]",43,M,,"wash,protection,education"
MYA-0112718,Myanmar,Shan Region,4,"[{""age"": 11, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 59, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 21, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 15, ""gender"": ""M"", ""vulnerable_flag"": false}]",59,M,malnutrition,"shelter,medical,wash"
MYA-0079653,Myanmar,Sagaing,5,"[{""age"": 28, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 48, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 21, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 59, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 17, ""gender"": ""F"", ""vulnerable_flag"": false}]",59,M,single_parent,livelihood
MAL-0029113,Malaysia,Klang Valley,3,"[{""age"": 27, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 57, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 4, ""gender"": ""M"", ""vulnerable_flag"": true}]",57,F,unaccompanied_minor,"livelihood,protection"
THA-0031774,Thailand,Nu Po,3,"[{""age"": 6, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 38, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 10, ""gender"": ""M"", ""vulnerable_flag"": false}]",38,M,,"shelter,protection,medical"
MYA-0109660,Myanmar,Kachin Shelters,5,"[{""age"": 70, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 3, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 68, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 39, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 18, ""gender"": ""F"", ""vulnerable_flag"": false}]",70,F,disabled,"livelihood,food"
MYA-0064523,Myanmar,Kachin Shelters,5,"[{""age"": 47, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 41, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 27, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 5, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 0, ""gender"": ""M"", ""vulnerable_flag"": true}]",47,M,unaccompanied_minor,"education,food"
MYA-0104357,Myanmar,Shan Region,5,"[{""age"": 2, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 17, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 7, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 16, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 37, ""gender"": ""F"", ""vulnerable_flag"": false}]",37,F,child_labor_risk,"wash,food,protection,medical"
